label,precision,recall,f1,support,tp,fp,fn
supported,0.953168044077135,0.8009259259259259,0.8704402515723271,432,346.0,17.0,86.0
refuted,0.6866791744840526,0.8491879350348028,0.7593360995850623,431,366.0,167.0,65.0
nei,0.7405541561712846,0.6837209302325581,0.7110036275695284,430,294.0,103.0,136.0
accuracy,,,0.7780355761794276,1293,,,
macro_avg,0.793467124910824,0.7779449303977622,0.7802599929089725,1293,,,
weighted_avg,0.7936315594722361,0.7780355761794275,0.7803833004294696,1293,,,
