label,precision,recall,f1,support,tp,fp,fn
supported,0.9455040871934605,0.8032407407407407,0.8685857321652065,432,347.0,20.0,85.0
refuted,0.657672849915683,0.9048723897911833,0.76171875,431,390.0,203.0,41.0
nei,0.7867867867867868,0.6093023255813953,0.6867627785058977,430,262.0,71.0,168.0
accuracy,,,0.7726218097447796,1293,,,
macro_avg,0.7966545746319769,0.7724718187044397,0.7723557535570348,1293,,,
weighted_avg,0.7967773258310538,0.7726218097447796,0.7724963745575446,1293,,,
