label,precision,recall,f1,support,tp,fp,fn
supported,0.9322033898305084,0.765661252900232,0.8407643312101911,431,330.0,24.0,101.0
refuted,0.7103174603174603,0.8325581395348837,0.7665952890792291,430,358.0,146.0,72.0
nei,0.7331786542923434,0.7383177570093458,0.7357392316647264,428,316.0,115.0,112.0
accuracy,,,0.7788983708301008,1289,,,
macro_avg,0.7918998348134374,0.7788457164814871,0.7810329506513822,1289,,,
weighted_avg,0.7920997928553764,0.7788983708301007,0.7811495672677764,1289,,,
